tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 11:25:00.0000,6.863869e+09,9.866133,190.751128,2.151301e-07,299792329.011233,4.302602e-07,1.003551e-08,2.050946e-07,152.300006,5.080181e-04
2024-Dec-24 11:26:00.0000,6.863720e+09,9.865920,190.753322,2.151348e-07,299792329.008441,4.302695e-07,1.003552e-08,2.050993e-07,152.404518,5.083668e-04
2024-Dec-24 11:27:00.0000,6.863581e+09,9.865719,190.755383,2.151392e-07,299792329.005817,4.302783e-07,1.003552e-08,2.051036e-07,152.508796,5.087146e-04
2024-Dec-24 11:28:00.0000,6.863450e+09,9.865531,190.757313,2.151433e-07,299792329.003362,4.302865e-07,1.003552e-08,2.051077e-07,152.612837,5.090616e-04
2024-Dec-24 11:29:00.0000,6.863328e+09,9.865356,190.759110,2.151471e-07,299792329.001074,4.302941e-07,1.003552e-08,2.051116e-07,152.716642,5.094079e-04
2024-Dec-24 11:30:00.0000,6.863216e+09,9.865194,190.760776,2.151506e-07,299792328.998955,4.303012e-07,1.003552e-08,2.051151e-07,152.820211,5.097534e-04
2024-Dec-24 11:31:00.0000,6.863112e+09,9.865045,190.762310,2.151539e-07,299792328.997003,4.303077e-07,1.003552e-08,2.051183e-07,152.923542,5.100980e-04
2024-Dec-24 11:32:00.0000,6.863017e+09,9.864908,190.763711,2.151568e-07,299792328.995219,4.303136e-07,1.003552e-08,2.051213e-07,153.026635,5.104419e-04
2024-Dec-24 11:33:00.0000,6.862931e+09,9.864785,190.764980,2.151595e-07,299792328.993604,4.303190e-07,1.003552e-08,2.051240e-07,153.129489,5.107850e-04
2024-Dec-24 11:34:00.0000,6.862854e+09,9.864674,190.766118,2.151619e-07,299792328.992156,4.303238e-07,1.003552e-08,2.051264e-07,153.232104,5.111273e-04
2024-Dec-24 11:35:00.0000,6.862786e+09,9.864576,190.767123,2.151641e-07,299792328.990877,4.303281e-07,1.003552e-08,2.051286e-07,153.334480,5.114688e-04
2024-Dec-24 11:36:00.0000,6.862727e+09,9.864491,190.767996,2.151659e-07,299792328.989766,4.303318e-07,1.003552e-08,2.051304e-07,153.436615,5.118095e-04
2024-Dec-24 11:37:00.0000,6.862677e+09,9.864419,190.768737,2.151675e-07,299792328.988823,4.303350e-07,1.003552e-08,2.051320e-07,153.538510,5.121493e-04
2024-Dec-24 11:38:00.0000,6.862635e+09,9.864360,190.769345,2.151688e-07,299792328.988048,4.303375e-07,1.003552e-08,2.051333e-07,153.640163,5.124884e-04
2024-Dec-24 11:39:00.0000,6.862603e+09,9.864314,190.769822,2.151698e-07,299792328.987442,4.303396e-07,1.003552e-08,2.051343e-07,153.741574,5.128267e-04
2024-Dec-24 11:40:00.0000,6.862580e+09,9.864280,190.770167,2.151705e-07,299792328.987003,4.303410e-07,1.003552e-08,2.051350e-07,153.842743,5.131642e-04
2024-Dec-24 11:41:00.0000,6.862565e+09,9.864260,190.770379,2.151710e-07,299792328.986733,4.303419e-07,1.003552e-08,2.051355e-07,153.943669,5.135008e-04
