Z,symbol,step,energy_eV,status,split,source
23,V,14,896.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,15,976.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,16,1060.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,17,1168.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,18,1260.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,19,1355.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,20,1486.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,21,1569.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,22,6851.3,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,23,7246.12,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
24,Cr,1,6.7665,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,2,16.4857,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,3,30.96,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,4,49.16,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,5,69.46,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,6,90.6349,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,7,160.18,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,8,184.7,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,9,209.3,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,10,244.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,11,270.8,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,12,298.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,13,354.8,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,14,384.168,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,15,1010.6,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,16,1097.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,17,1185.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,18,1299.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,19,1396.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,20,1496.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,21,1634.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,22,1721.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,23,7481.7,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
24,Cr,24,7894.81,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
25,Mn,1,7.43402,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
25,Mn,2,15.63999,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
25,Mn,3,33.668,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
25,Mn,4,51.2,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
