Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
37,90,Rb,4.2554,0.0102,104.2637920694,208.5275841388,0.04081378506900577,0.020406892534502886,1,1
37,91,Rb,4.2723,0.0131,104.2637920694,208.5275841388,0.040975873936718844,0.020487936968359422,1,1
37,92,Rb,4.2903,0.0163,104.2637920694,208.5275841388,0.04114851296741916,0.02057425648370958,1,1
37,93,Rb,4.3048,0.0187,104.2637920694,208.5275841388,0.041287583297705516,0.020643791648852758,1,1
37,94,Rb,4.3184,0.0211,104.2637920694,208.5275841388,0.041418021676456855,0.020709010838228428,1,1
37,95,Rb,4.3391,0.0248,104.2637920694,208.5275841388,0.04161655656176222,0.02080827828088111,1,1
37,96,Rb,4.3501,0.0267,104.2637920694,208.5275841388,0.04172205819163463,0.020861029095817316,1,1
37,97,Rb,4.4231,0.0395,104.2637920694,208.5275841388,0.042422205371697004,0.021211102685848502,1,1
37,98,Rb,4.4336,0.0414,104.2637920694,208.5275841388,0.04252291147293885,0.021261455736469426,1,1
38,77,Sr,4.2569,0.0044,107.0817323956,214.1634647912,0.03975374608503174,0.01987687304251587,1,1
38,78,Sr,4.2561,0.0040,107.0817323956,214.1634647912,0.03974627515621781,0.019873137578108904,1,1
38,79,Sr,4.2586,0.0039,107.0817323956,214.1634647912,0.03976962180876135,0.019884810904380674,1,1
38,80,Sr,4.2562,0.0037,107.0817323956,214.1634647912,0.03974720902231955,0.019873604511159774,1,1
38,81,Sr,4.2547,0.0034,107.0817323956,214.1634647912,0.039733201030793426,0.019866600515396713,1,1
38,82,Sr,4.2478,0.0030,107.0817323956,214.1634647912,0.03966876426977327,0.019834382134886634,1,1
38,83,Sr,4.2455,0.0027,107.0817323956,214.1634647912,0.039647285349433216,0.019823642674716608,1,1
38,84,Sr,4.2394,0.0024,107.0817323956,214.1634647912,0.03959031951722698,0.01979515975861349,1,1
38,85,Sr,4.2304,0.0021,107.0817323956,214.1634647912,0.03950627156807026,0.01975313578403513,1,1
38,86,Sr,4.2307,0.0020,107.0817323956,214.1634647912,0.039509073166375475,0.019754536583187737,1,1
38,87,Sr,4.2249,0.0019,107.0817323956,214.1634647912,0.039454908932474476,0.019727454466237238,1,1
38,88,Sr,4.224,0.0018,107.0817323956,214.1634647912,0.039446504137558805,0.019723252068779402,1,1
38,89,Sr,4.2407,0.0023,107.0817323956,214.1634647912,0.03960245977654963,0.019801229888274815,1,1
38,90,Sr,4.2611,0.0037,107.0817323956,214.1634647912,0.03979296846130488,0.01989648423065244,1,1
38,91,Sr,4.274,0.0046,107.0817323956,214.1634647912,0.03991343718842953,0.019956718594214766,1,1
38,92,Sr,4.2924,0.0064,107.0817323956,214.1634647912,0.04008526855114995,0.020042634275574976,1,1
38,93,Sr,4.3026,0.0075,107.0817323956,214.1634647912,0.04018052289352758,0.02009026144676379,1,1
38,94,Sr,4.3191,0.0091,107.0817323956,214.1634647912,0.04033461080031492,0.02016730540015746,1,1
38,95,Sr,4.3305,0.0102,107.0817323956,214.1634647912,0.04044107153591345,0.020220535767956724,1,1
38,96,Sr,4.3522,0.0125,107.0817323956,214.1634647912,0.04064372047999134,0.02032186023999567,1,1
38,97,Sr,4.3625,0.0135,107.0817323956,214.1634647912,0.04073990868847071,0.020369954344235355,1,1
38,98,Sr,4.4377,0.0214,107.0817323956,214.1634647912,0.04144217599698029,0.020721087998490144,1,1
38,99,Sr,4.4495,0.0226,107.0817323956,214.1634647912,0.041552372196985765,0.020776186098492883,1,1
38,100,Sr,4.464,0.0240,107.0817323956,214.1634647912,0.041687782781738285,0.020843891390869142,1,1
39,86,Y,4.2513,0.0023,109.8996727218,219.7993454436,0.03868346369658206,0.01934173184829103,1,1
39,87,Y,4.2498,0.0022,109.8996727218,219.7993454436,0.03866981488432583,0.019334907442162916,1,1
39,88,Y,4.2441,0.0021,109.8996727218,219.7993454436,0.038617949397752205,0.019308974698876102,1,1
39,89,Y,4.243,0.0021,109.8996727218,219.7993454436,0.0386079402687643,0.01930397013438215,1,1
39,90,Y,4.2573,0.0026,109.8996727218,219.7993454436,0.038738058945606946,0.019369029472803473,1,1
39,92,Y,4.2887,0.0050,109.8996727218,219.7993454436,0.03902377408217051,0.019511887041085255,1,1
39,93,Y,4.3052,0.0065,109.8996727218,219.7993454436,0.039173911016988944,0.019586955508494472,1,1
39,94,Y,4.3142,0.0074,109.8996727218,219.7993454436,0.03925580389052626,0.01962790194526313,1,1
39,95,Y,4.3284,0.0087,109.8996727218,219.7993454436,0.03938501264655183,0.019692506323275915,1,1
39,96,Y,4.3402,0.0099,109.8996727218,219.7993454436,0.039492383302967435,0.019746191651483717,1,1
39,97,Y,4.358,0.0116,109.8996727218,219.7993454436,0.03965434920840792,0.01982717460420396,1,1
39,98,Y,4.3711,0.0129,109.8996727218,219.7993454436,0.039773548835445593,0.019886774417722797,1,1
39,99,Y,4.4658,0.0223,109.8996727218,219.7993454436,0.04063524384922169,0.020317621924610844,1,1
39,100,Y,4.4705,0.0228,109.8996727218,219.7993454436,0.040678010127624516,0.020339005063812258,1,1
39,101,Y,4.4863,0.0244,109.8996727218,219.7993454436,0.04082177761672338,0.02041088880836169,1,1
39,102,Y,4.4911,0.0249,109.8996727218,219.7993454436,0.04086545381594329,0.020432726907971644,1,1
40,87,Zr,4.2789,0.0030,112.717613048,225.435226096,0.037961236796044115,0.018980618398022057,1,1
40,88,Zr,4.2787,0.0025,112.717613048,225.435226096,0.0379594624504508,0.0189797312252254,1,1
40,89,Zr,4.2706,0.0010,112.717613048,225.435226096,0.0378876014539218,0.0189438007269609,1,1
40,90,Zr,4.2694,0.0010,112.717613048,225.435226096,0.03787695538036195,0.018938477690180974,1,1
40,91,Zr,4.2845,0.0013,112.717613048,225.435226096,0.038010918472656766,0.019005459236328383,1,1
40,92,Zr,4.3057,0.0013,112.717613048,225.435226096,0.038198999105547485,0.019099499552773742,1,1
40,94,Zr,4.332,0.0013,112.717613048,225.435226096,0.03843232555106759,0.019216162775533795,1,1
40,96,Zr,4.3512,0.0015,112.717613048,225.435226096,0.03860266272802523,0.019301331364012617,1,1
40,97,Zr,4.3792,0.0136,112.717613048,225.435226096,0.03885107111108845,0.019425535555544226,1,1
40,98,Zr,4.4012,0.0164,112.717613048,225.435226096,0.03904624912635242,0.01952312456317621,1,1
40,99,Zr,4.4156,0.0181,112.717613048,225.435226096,0.03917400200907065,0.019587001004535327,1,1
40,100,Zr,4.4891,0.0289,112.717613048,225.435226096,0.039826074014611614,0.019913037007305807,1,1
40,101,Zr,4.5119,0.0318,112.717613048,225.435226096,0.04002834941224881,0.020014174706124405,1,1
40,102,Zr,4.5292,0.0340,112.717613048,225.435226096,0.040181830306070025,0.020090915153035013,1,1
41,90,Nb,4.2891,0.0040,115.5355533742,231.0711067484,0.03712363748419792,0.01856181874209896,1,1
41,91,Nb,4.2878,0.0040,115.5355533742,231.0711067484,0.037112385536533024,0.018556192768266512,1,1
41,92,Nb,4.3026,0.0043,115.5355533742,231.0711067484,0.03724048463302556,0.01862024231651278,1,1
41,93,Nb,4.324,0.0017,115.5355533742,231.0711067484,0.037425709002278276,0.018712854501139138,1,1
41,99,Nb,4.4062,0.0125,115.5355533742,231.0711067484,0.0381371783084733,0.01906858915423665,1,1
41,101,Nb,4.4861,0.0203,115.5355533742,231.0711067484,0.03882874032264584,0.01941437016132292,1,1
41,103,Nb,4.5097,0.0227,115.5355533742,231.0711067484,0.03903300644948528,0.01951650322474264,1,1
42,90,Mo,4.3265,0.0016,118.3534937004,236.7069874008,0.036555743854525334,0.018277871927262667,1,1
42,91,Mo,4.3182,0.0012,118.3534937004,236.7069874008,0.03648561495726599,0.018242807478632994,1,1
42,92,Mo,4.3151,0.0012,118.3534937004,236.7069874008,0.03645942223660286,0.01822971111830143,1,1
42,94,Mo,4.3529,0.0013,118.3534937004,236.7069874008,0.036778804443398434,0.018389402221699217,1,1
42,95,Mo,4.3628,0.0018,118.3534937004,236.7069874008,0.036862452164225845,0.018431226082112923,1,1
42,96,Mo,4.3847,0.0015,118.3534937004,236.7069874008,0.03704749106181376,0.01852374553090688,1,1
42,97,Mo,4.388,0.0015,118.3534937004,236.7069874008,0.0370753736354229,0.01853768681771145,1,1
42,98,Mo,4.4091,0.0018,118.3534937004,236.7069874008,0.037253653121226776,0.018626826560613388,1,1
42,100,Mo,4.4468,0.0025,118.3534937004,236.7069874008,0.03757219040154935,0.018786095200774674,1,1
42,102,Mo,4.4914,0.0038,118.3534937004,236.7069874008,0.037949027608509205,0.018974513804254602,1,1
42,103,Mo,4.5145,0.0046,118.3534937004,236.7069874008,0.03814420562377317,0.019072102811886586,1,1
42,104,Mo,4.5249,0.0051,118.3534937004,236.7069874008,0.0382320779769656,0.0191160389884828,1,1
42,105,Mo,4.5389,0.0057,118.3534937004,236.7069874008,0.038350367683186184,0.019175183841593092,1,1
42,106,Mo,4.549,0.0058,118.3534937004,236.7069874008,0.038435705256959614,0.019217852628479807,1,1
42,108,Mo,4.5602,0.0067,118.3534937004,236.7069874008,0.038530337021936076,0.019265168510968038,1,1
44,96,Ru,4.3908,0.0047,123.9893743528,247.9787487056,0.03541271195954578,0.01770635597977289,1,1
44,98,Ru,4.4229,0.0055,123.9893743528,247.9787487056,0.03567160511202402,0.01783580255601201,1,1
44,99,Ru,4.4338,0.0042,123.9893743528,247.9787487056,0.03575951587096522,0.01787975793548261,1,1
44,100,Ru,4.4531,0.0031,123.9893743528,247.9787487056,0.035915174370741855,0.017957587185370927,1,1
44,101,Ru,4.4606,0.0020,123.9893743528,247.9787487056,0.0359756634250592,0.0179878317125296,1,1
44,102,Ru,4.4809,0.0018,123.9893743528,247.9787487056,0.03613938713207814,0.01806969356603907,1,1
44,104,Ru,4.5098,0.0020,123.9893743528,247.9787487056,0.03637247162138098,0.01818623581069049,1,1
45,103,Rh,4.4945,0.0023,126.807314679,253.614629358,0.035443538973894184,0.017721769486947092,1,1
46,102,Pd,4.4827,0.0044,129.6252550052,259.2505100104,0.0345819956135876,0.0172909978067938,1,1
46,104,Pd,4.5078,0.0027,129.6252550052,259.2505100104,0.03477563071963999,0.017387815359819994,1,1
46,105,Pd,4.515,0.0030,129.6252550052,259.2505100104,0.03483117545125661,0.017415587725628304,1,1
