Z,N,A,symbol,radius_fm,unc_radius_fm,source
36,39,75,Kr,4.2097,0.0041,IAEA LiveChart
36,40,76,Kr,4.2020,0.0036,IAEA LiveChart
36,41,77,Kr,4.2082,0.0037,IAEA LiveChart
36,42,78,Kr,4.2038,0.0033,IAEA LiveChart
36,43,79,Kr,4.2034,0.0032,IAEA LiveChart
36,44,80,Kr,4.1970,0.0029,IAEA LiveChart
36,45,81,Kr,4.1952,0.0026,IAEA LiveChart
36,46,82,Kr,4.1919,0.0025,IAEA LiveChart
36,47,83,Kr,4.1871,0.0023,IAEA LiveChart
36,48,84,Kr,4.1884,0.0022,IAEA LiveChart
36,49,85,Kr,4.1846,0.0022,IAEA LiveChart
36,50,86,Kr,4.1835,0.0021,IAEA LiveChart
36,51,87,Kr,4.1984,0.0027,IAEA LiveChart
36,52,88,Kr,4.2171,0.0043,IAEA LiveChart
36,53,89,Kr,4.2286,0.0054,IAEA LiveChart
36,54,90,Kr,4.2423,0.0069,IAEA LiveChart
36,55,91,Kr,4.2543,0.0081,IAEA LiveChart
36,56,92,Kr,4.2724,0.0099,IAEA LiveChart
36,57,93,Kr,4.2794,0.0107,IAEA LiveChart
36,58,94,Kr,4.3002,0.0129,IAEA LiveChart
36,59,95,Kr,4.3067,0.0136,IAEA LiveChart
36,60,96,Kr,4.3267,0.0158,IAEA LiveChart
37,39,76,Rb,4.2273,0.0070,IAEA LiveChart
37,40,77,Rb,4.2356,0.0080,IAEA LiveChart
37,41,78,Rb,4.2385,0.0083,IAEA LiveChart
37,42,79,Rb,4.2284,0.0065,IAEA LiveChart
37,43,80,Rb,4.2271,0.0061,IAEA LiveChart
37,44,81,Rb,4.2213,0.0051,IAEA LiveChart
37,45,82,Rb,4.2160,0.0042,IAEA LiveChart
37,46,83,Rb,4.2058,0.0028,IAEA LiveChart
37,47,84,Rb,4.1999,0.0023,IAEA LiveChart
37,48,85,Rb,4.2036,0.0024,IAEA LiveChart
37,49,86,Rb,4.2025,0.0023,IAEA LiveChart
37,50,87,Rb,4.1989,0.0021,IAEA LiveChart
37,51,88,Rb,4.2170,0.0038,IAEA LiveChart
37,52,89,Rb,4.2391,0.0074,IAEA LiveChart
37,53,90,Rb,4.2554,0.0102,IAEA LiveChart
37,54,91,Rb,4.2723,0.0131,IAEA LiveChart
37,55,92,Rb,4.2903,0.0163,IAEA LiveChart
37,56,93,Rb,4.3048,0.0187,IAEA LiveChart
37,57,94,Rb,4.3184,0.0211,IAEA LiveChart
37,58,95,Rb,4.3391,0.0248,IAEA LiveChart
37,59,96,Rb,4.3501,0.0267,IAEA LiveChart
37,60,97,Rb,4.4231,0.0395,IAEA LiveChart
37,61,98,Rb,4.4336,0.0414,IAEA LiveChart
38,39,77,Sr,4.2569,0.0044,IAEA LiveChart
38,40,78,Sr,4.2561,0.0040,IAEA LiveChart
38,41,79,Sr,4.2586,0.0039,IAEA LiveChart
38,42,80,Sr,4.2562,0.0037,IAEA LiveChart
38,43,81,Sr,4.2547,0.0034,IAEA LiveChart
38,44,82,Sr,4.2478,0.0030,IAEA LiveChart
38,45,83,Sr,4.2455,0.0027,IAEA LiveChart
38,46,84,Sr,4.2394,0.0024,IAEA LiveChart
38,47,85,Sr,4.2304,0.0021,IAEA LiveChart
38,48,86,Sr,4.2307,0.0020,IAEA LiveChart
38,49,87,Sr,4.2249,0.0019,IAEA LiveChart
38,50,88,Sr,4.2240,0.0018,IAEA LiveChart
38,51,89,Sr,4.2407,0.0023,IAEA LiveChart
38,52,90,Sr,4.2611,0.0037,IAEA LiveChart
38,53,91,Sr,4.2740,0.0046,IAEA LiveChart
38,54,92,Sr,4.2924,0.0064,IAEA LiveChart
38,55,93,Sr,4.3026,0.0075,IAEA LiveChart
38,56,94,Sr,4.3191,0.0091,IAEA LiveChart
38,57,95,Sr,4.3305,0.0102,IAEA LiveChart
38,58,96,Sr,4.3522,0.0125,IAEA LiveChart
38,59,97,Sr,4.3625,0.0135,IAEA LiveChart
38,60,98,Sr,4.4377,0.0214,IAEA LiveChart
38,61,99,Sr,4.4495,0.0226,IAEA LiveChart
38,62,100,Sr,4.4640,0.0240,IAEA LiveChart
