line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,15,3.021783652635747e-11,2.0629751249311748e-11,-0.5000000000000004,39091329545.60427,1.804246569850041e-11,3.315684952787768e-11,1.8702749355646424e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,16,3.021783652635747e-11,2.0629751249311735e-11,-0.4999999999999997,39091349777.83031,1.815065497592637e-11,3.30454300088475e-11,1.8702786233499072e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,17,1.762782258308044e-11,-1.762782258308044e-11,1.0,40190306791.24134,1.7627822583080436e-11,3.3376745764988786e-11,3.0496233081161214e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,18,2.3852042353328276e-11,1.6778428374220011e-12,0.25231131935570733,40256179719.84719,1.7363080675130876e-11,3.2173537265258815e-11,1.5889283368924718e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,19,1.871039252958513e-11,-1.2190993625500793e-11,0.816496580927726,41186696698.925026,1.7145773155652275e-11,3.24513027371465e-11,2.5057119434471488e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,20,2.3852042353328276e-11,1.677842837422019e-12,0.2523113193557066,40256071682.47602,1.7662402535011904e-11,3.221369380447858e-11,1.588910176069624e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,21,3.0376819137633433e-11,2.412395714892688e-11,-0.6605596098195701,40805147214.753654,1.680521601962033e-11,3.2308581211639605e-11,2.147326869734339e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,22,3.037681913763343e-11,2.4123957148926867e-11,-0.6605596098195698,40805200784.35212,1.6765587353378262e-11,3.2260895910264514e-11,2.1473357412868404e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,23,2.764983105306844e-11,1.4085751290767225e-11,-0.25231131935570733,40256199370.44469,1.7207585435075508e-11,3.216426536764864e-11,1.5889316002678645e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,24,3.135151415024336e-11,2.795458775369002e-11,-0.816496580927726,41186539542.056885,1.714577315565195e-11,3.245130273714644e-11,2.50568522684361e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,25,2.7649831053068437e-11,1.4085751290767205e-11,-0.2523113193557066,40256131211.53963,1.738640479113732e-11,3.2160954983313955e-11,1.5889201792530986e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,26,2.0265278242248492e-11,-8.360363020737654e-12,0.6605596098195701,40805087509.88969,1.7107519931986314e-11,3.2439909430398945e-11,2.1473175672904192e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,27,2.0265278242248495e-11,-8.360363020737644e-12,0.6605596098195698,40805089884.52701,1.701729188934383e-11,3.2419397861313345e-11,2.1473176967160227e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,28,6.7885451173621e-11,7.881797064094613e-12,0.0,14805811322.552265,5.984788870597143e-11,7.506729767035592e-11,1.545446028266865e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,29,6.7885451173621e-11,7.881797064094613e-12,0.0,14805811363.899927,5.955677640373217e-11,7.529846842059946e-11,1.545446195458043e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,11,4.6914075787268375e-11,4.6914075787268375e-11,-1.0,1.254236808125868e+16,1.7717799876695303e-18,4.68854969998747e-11,2.091862126809426e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,12,3.464497034746847e-11,2.3457037893634188e-11,0.0,26156263200.009857,3.0888667216042266e-11,4.636268001091482e-11,2.9741374213050483e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,13,3.4644970347468476e-11,2.3457037893634188e-11,0.0,72197647160.15048,2.792407719324988e-12,3.46869698342479e-11,1.0730371610769943e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,14,3.4655061986482285e-11,2.3457037893634188e-11,0.0,25310513396.204563,3.236727992106977e-11,4.736741501205726e-11,2.797282863139641e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,15,3.464497034746847e-11,2.3457037893634188e-11,0.0,30428826829.23165,2.4547500945542665e-11,4.240245438748222e-11,3.936288427558662e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,16,3.4644970347468476e-11,2.3457037893634188e-11,0.0,25317779320.088444,3.23577482829006e-11,4.735411502024554e-11,2.7958762445248245e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,17,3.4655061986482285e-11,2.3457037893634188e-11,0.0,72111344436.45992,2.802783925157801e-12,3.4697071824099154e-11,1.0732852337672027e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,18,2.2109414260837802e-11,9.260866861926067e-12,0.5773502691896257,36378649752.764435,2.3262927933913522e-11,3.2068876382227136e-11,9.658872767708905e-24
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,19,2.2107195408895528e-11,9.263431479683081e-12,0.5773502691896257,73056784068.12663,6.77776156506938e-12,2.308893769602542e-11,3.134345998077606e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,20,2.2109414260837802e-11,9.260866861926069e-12,0.5773502691896257,27448811680.254925,3.317159069876422e-11,3.9844741759063444e-11,5.5644620223615405e-24
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,21,2.2109412033326236e-11,9.260869436164745e-12,0.5773502691896257,22093013911.88194,4.2614446071806596e-11,4.7992082076239674e-11,3.6169000719963435e-24
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,22,2.2109412033326233e-11,9.26086943616475e-12,0.5773502691896257,29678745177.154736,3.0186118653432795e-11,3.739586457570889e-11,6.491643148792795e-24
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,23,4.2671145828281844e-11,3.765320892534231e-11,-0.5773502691896257,29586766145.687332,2.2091740406682606e-11,4.8025858443031074e-11,8.197629983734739e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,24,4.266717641049865e-11,3.765064430758529e-11,-0.5773502691896257,33522353549.54866,1.7211255937197904e-11,4.598191932609128e-11,9.944267316071011e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,25,4.2671145828281844e-11,3.765320892534231e-11,-0.5773502691896257,57366304960.77636,3.710187632865928e-12,4.2804247187222877e-11,1.620959399944758e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,26,4.267114184392646e-11,3.765320635110363e-11,-0.5773502691896257,39045883593.35672,1.2101898558697645e-11,4.4327121539475424e-11,1.21581509008359e-22
